Namespace(batch_size=256, epoch=60, evaluate=False, log_model_dir='./log', lr=0.01, lr_milestone=[15, 40], num_workers=2, root='./', show_interval=10, snapshot_interval=5, test_interval=2)
[epoch:10, batch:169]	 [loss: 0.036]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:10, batch:179]	 [loss: 0.025]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:10, batch:189]	 [loss: 0.014]	 [accuracy: 1.000]	 [lr: 0.010000]
[epoch:10, batch:199]	 [loss: 0.014]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:10, batch:209]	 [loss: 0.033]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:10, batch:219]	 [loss: 0.027]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:10, batch:229]	 [loss: 0.023]	 [accuracy: 0.988]	 [lr: 0.010000]

***************validation result*******************
loss_avg: 0.053	 accuracy_avg: 0.984
****************************************************

[epoch:11, batch:4]	 [loss: 0.006]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:11, batch:14]	 [loss: 0.032]	 [accuracy: 0.988]	 [lr: 0.010000]
[epoch:11, batch:24]	 [loss: 0.025]	 [accuracy: 0.984]	 [lr: 0.010000]
[epoch:11, batch:34]	 [loss: 0.002]	 [accuracy: 1.000]	 [lr: 0.010000]
[epoch:11, batch:44]	 [loss: 0.011]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:11, batch:54]	 [loss: 0.016]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:11, batch:64]	 [loss: 0.030]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:11, batch:74]	 [loss: 0.007]	 [accuracy: 1.000]	 [lr: 0.010000]
[epoch:11, batch:84]	 [loss: 0.016]	 [accuracy: 0.996]	 [lr: 0.010000]
[epoch:11, batch:94]	 [loss: 0.016]	 [accuracy: 0.992]	 [lr: 0.010000]
[epoch:11, batch:104]	 [loss: 0.007]	 [accuracy: 0.996]	 [lr: 0.010000]
